id;id_patologia;nombre;descripcion;tipo
64;32;Lansoprazol;"El lansoprazol es un medicamento del grupo de inhibidores de la bomba de protones que actúa a nivel del tracto gastrointestinal";Medicamento
65;33;Latanoprost;"El latanoprost es un medicamento que se utiliza en oftalmología y se aplica en forma de gotas que se instilan directamente";Medicamento
66;33;Timolol;"Timolol es el nombre de un medicamento beta bloqueante no selectivo, es decir, bloquea la acción de la epinefrina";Medicamento
67;34;Metilprednisolona;"Metilprednisolona, esteroide sintético, del grupo de los glucocorticoides que se utiliza en medicina por sus propiedades inmunos";Medicamento
68;34;Micofenolato;"Es un medicamento inmunosupresor derivado del Penicillium stoloniferum, y especies relacionadas, bloquea la síntesis";Medicamento
69;35;Efavirenz;"Efavirenz es un fármaco inhibidor de la transcriptasa inversa no análogo a los nucleósidos que se emplea";Medicamento
70;35;Tenofovir;"Tenofovir es un medicamento antiviral que se emplea para el tratamiento de la infección por el virus de la inmunodeficiencia";Medicamento
71;36;"Inmunoglobulina antirrábica";"Una inyección de acción rápida para prevenir que el virus te infecte";Medicamento
72;36;"Vacunas antirrábicas";"Una serie de vacunas para ayudar a que el cuerpo aprenda a identificar y combatir el virus de la rabia";Medicamento
73;37;Broncoscopia;"Durante la broncoscopia, el médico introduce con cuidado un tubo flexible por la garganta para limpiar las vías respiratorias";Quirurjico
74;37;CPAP;"La presión positiva continua en las vías respiratorias (CPAP) puede ser útil en algunas personas que están demasiado débiles";Quirurjico
75;38;Colonoscopia;"El médico puede ver el interior del colon mediante un tubo delgado con luz que se introduce en el recto";Quirurjico
76;38;Tetraciclina;"Las tetraciclinas constituyen un grupo de antibióticos, unos naturales y otros obtenidos por semisíntesis, que abarcan un amplio";Medicamento
77;39;Maalox;"Está indicado para el alivio y tratamiento sintomático de la acidez y ardor de estómago";Medicamento
78;39;"Dilatación esofágica";"El médico puede usar un endoscopio con un globo especial conectado para estirar y expandir suavemente el ancho del esófago";Quirurjico
79;40;Prednisona;"Prednisona es un fármaco corticosteroide sintético que se toma usualmente en forma oral, pero puede ser administrado por vía";Medicamento
80;40;PRP;"Plasma rico en plaquetas, aplica tomar una muestra de tu sangre y centrifugarla para separar las plaquetas y componentes";Quirurjico
81;41;Remdesivir;"Es un medicamento antiviral, un nuevo profármaco 2​ que pertenece a los nucleótidos. Se utiliza mediante inyecciones";Medicamento
82;41;"Inyección de tocilizumab";"El uso de la inyección de tocilizumab puede reducir su capacidad para combatir infecciones por bacterias, virus y hongos";Medicamento
